9	-21	-59.03624347	-66.80140949
9	-19	-59.03624347	-64.65382406
9	-17	-59.03624347	-62.10272897
9	-15	-59.03624347	-59.03624347
9	-13	-59.03624347	-55.30484647
9	-11	-45	-50.71059314
9	-9	-45	-45
9	-7	-45	-37.87498365
9	-5	-30.96375653	-29.0546041
9	-3	-16.38954033	-18.43494882
9	-1	2.84E-14	-6.340191746
9	1	2.84E-14	6.340191746
9	3	16.38954033	18.43494882
9	5	30.96375653	29.0546041
9	7	45	37.87498365
9	9	45	45
9	11	45	50.71059314
9	13	59.03624347	55.30484647
9	15	59.03624347	59.03624347
9	17	59.03624347	62.10272897
9	19	59.03624347	64.65382406
11	-21	-59.03624347	-62.35402464
11	-19	-59.03624347	-59.93141718
11	-17	-59.03624347	-57.09475708
11	-15	-45	-53.74616226
11	-13	-45	-49.76364169
11	-11	-45	-45
11	-9	-45	-39.28940686
11	-7	-30.96375653	-32.47119229
11	-5	-30.96375653	-24.44395478
11	-3	-16.38954033	-15.2551187
11	-1	2.84E-14	-5.194428908
11	1	2.84E-14	5.194428908
11	3	16.38954033	15.2551187
11	5	30.96375653	24.44395478
11	7	30.96375653	32.47119229
11	9	45	39.28940686
11	11	45	45
11	13	45	49.76364169
11	15	45	53.74616226
11	17	59.03624347	57.09475708
11	19	59.03624347	59.93141718
13	-21	-59.03624347	-58.24051992
13	-19	-59.03624347	-55.61965528
13	-17	-45	-52.59464337
13	-15	-45	-49.08561678
13	-13	-45	-45
13	-11	-45	-40.23635831
13	-9	-30.96375653	-34.69515353
